order_id,account_id,city,street,building,unit,postcode,family_token,order_date
ORD-0000036,ACC-000010,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۱,PC 2 0002,FAM-X-000010,2025-01-02
ORD-0000037,ACC-000010,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۱,PC 2 0002,FAM-X-000010,2025-12-08
ORD-0000038,ACC-000011,Central City,Maple Street 1,Building 2,Unit 2,PC-2-0002,FAM-X-000011,2025-10-31
ORD-0000039,ACC-000011,Central City,Maple Street 1,Building 2,Unit 2,PC-2-0002,FAM-X-000011,2025-11-22
ORD-0000040,ACC-000012,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۳,PC 2 0002,FAM-X-000012,2025-09-20
ORD-0000041,ACC-000012,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۳,PC 2 0002,FAM-X-000012,2025-11-16
ORD-0000042,ACC-000013,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۴,PC 2 0002,FAM-X-000013,2025-10-11
ORD-0000043,ACC-000013,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۴,PC 2 0002,FAM-X-000013,2025-04-27
ORD-0000044,ACC-000013,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۴,PC 2 0002,FAM-X-000013,2025-12-21
ORD-0000045,ACC-000013,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۴,PC 2 0002,FAM-X-000013,2025-07-02
ORD-0000046,ACC-000013,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۴,PC 2 0002,FAM-X-000013,2025-07-02
ORD-0000047,ACC-000014,South City,Willow Street 1,Building 3,Unit 1,PC-3-0003,FAM-X-000014,2025-03-25
ORD-0000048,ACC-000014,South City,Willow Street 1,Building 3,Unit 1,PC-3-0003,FAM-X-000014,2025-04-12
ORD-0000049,ACC-000015,SOUTH CITY,Willow St. 1,Bldg-3,Apt ۲,PC 3 0003,FAM-00010,2025-10-07
ORD-0000050,ACC-000015,SOUTH CITY,Willow St. 1,Bldg-3,Apt ۲,PC 3 0003,FAM-00010,2025-08-01
ORD-0000051,ACC-000016,South City,Willow Street 1,Building 3,Unit 2,PC-3-0003,FAM-00010,2025-09-19
ORD-0000052,ACC-000016,South City,Willow Street 1,Building 3,Unit 2,PC-3-0003,FAM-00010,2025-01-31
ORD-0000053,ACC-000017,South City,Willow Street 1,Building 3,Unit 3,PC-3-0003,FAM-X-000017,2025-07-27
ORD-0000054,ACC-000017,South City,Willow Street 1,Building 3,Unit 3,PC-3-0003,FAM-X-000017,2025-12-05
ORD-0000055,ACC-000017,South City,Willow Street 1,Building 3,Unit 3,PC-3-0003,FAM-X-000017,2025-01-30
ORD-0000056,ACC-000017,South City,Willow Street 1,Building 3,Unit 3,PC-3-0003,FAM-X-000017,2025-05-26
ORD-0000057,ACC-000018,SOUTH CITY,Willow St. 1,Bldg-3,Apt ۴,PC 3 0003,FAM-X-000018,2025-08-30
ORD-0000058,ACC-000018,SOUTH CITY,Willow St. 1,Bldg-3,Apt ۴,PC 3 0003,FAM-X-000018,2025-04-25
ORD-0000059,ACC-000018,SOUTH CITY,Willow St. 1,Bldg-3,Apt ۴,PC 3 0003,FAM-X-000018,2025-12-15
ORD-0000060,ACC-000018,SOUTH CITY,Willow St. 1,Bldg-3,Apt ۴,PC 3 0003,FAM-X-000018,2025-07-10
ORD-0000061,ACC-000019,NORTH CITY,Oak St. 1,Bldg-4,Apt ۱,PC 1 0004,FAM-00013,2025-11-03
ORD-0000062,ACC-000019,NORTH CITY,Oak St. 1,Bldg-4,Apt ۱,PC 1 0004,FAM-00013,2025-02-08
ORD-0000063,ACC-000019,NORTH CITY,Oak St. 1,Bldg-4,Apt ۱,PC 1 0004,FAM-00013,2025-09-22
ORD-0000064,ACC-000020,NORTH CITY,Oak St. 1,Bldg-4,Apt ۱,PC 1 0004,FAM-X-000020,2025-03-02
ORD-0000065,ACC-000020,NORTH CITY,Oak St. 1,Bldg-4,Apt ۱,PC 1 0004,FAM-X-000020,2025-08-06
ORD-0000066,ACC-000021,North City,Oa St 1,B ۴,۱,PC10004,FAM-00013,2025-08-31
ORD-0000067,ACC-000021,North City,Oa St 1,B ۴,۱,PC10004,FAM-00013,2025-02-09
ORD-0000068,ACC-000021,North City,Oa St 1,B ۴,۱,PC10004,FAM-00013,2025-04-16
ORD-0000069,ACC-000022,North City,Oak S 1,B ۴,۲,,FAM-00013,2025-11-13
ORD-0000070,ACC-000022,North City,Oak S 1,B ۴,۲,,FAM-00013,2025-10-02
ORD-0000071,ACC-000022,North City,Oak S 1,B ۴,۲,,FAM-00013,2025-08-09
ORD-0000072,ACC-000022,North City,Oak S 1,B ۴,۲,,FAM-00013,2025-04-16
ORD-0000073,ACC-000022,North City,Oak S 1,B ۴,۲,,FAM-00013,2025-05-31
ORD-0000074,ACC-000023,NORTH CITY,Oak St. 1,Bldg-4,Apt ۲,PC 1 0004,FAM-X-000023,2025-08-26
ORD-0000075,ACC-000023,NORTH CITY,Oak St. 1,Bldg-4,Apt ۲,PC 1 0004,FAM-X-000023,2025-12-18
ORD-0000076,ACC-000024,North City,Oak Street 1,Building 4,Unit 3,PC-1-0004,FAM-00015,2025-11-03
ORD-0000077,ACC-000024,North City,Oak Street 1,Building 4,Unit 3,PC-1-0004,FAM-00015,2025-10-26
ORD-0000078,ACC-000024,North City,Oak Street 1,Building 4,Unit 3,PC-1-0004,FAM-00015,2025-12-17
ORD-0000079,ACC-000024,North City,Oak Street 1,Building 4,Unit 3,PC-1-0004,FAM-00015,2025-02-08
ORD-0000080,ACC-000024,North City,Oak Street 1,Building 4,Unit 3,PC-1-0004,FAM-00015,2025-11-18
ORD-0000081,ACC-000025,NORTH CITY,Oak St. 1,Bldg-4,Apt ۳,PC 1 0004,FAM-00015,2025-03-12
ORD-0000082,ACC-000025,NORTH CITY,Oak St. 1,Bldg-4,Apt ۳,PC 1 0004,FAM-00015,2025-10-29
ORD-0000083,ACC-000026,North City,Oak Street 1,Building 4,Unit 4,PC-1-0004,FAM-X-000026,2025-12-03
ORD-0000084,ACC-000026,North City,Oak Street 1,Building 4,Unit 4,PC-1-0004,FAM-X-000026,2025-08-07
ORD-0000085,ACC-000026,North City,Oak Street 1,Building 4,Unit 4,PC-1-0004,FAM-X-000026,2025-03-02
ORD-0000086,ACC-000026,North City,Oak Street 1,Building 4,Unit 4,PC-1-0004,FAM-X-000026,2025-02-26
ORD-0000087,ACC-000026,North City,Oak Street 1,Building 4,Unit 4,PC-1-0004,FAM-X-000026,2025-04-14
ORD-0000088,ACC-000027,Central City,Pine Street 1,Building 5,Unit 1,PC-2-0005,FAM-X-000027,2025-01-08
ORD-0000089,ACC-000027,Central City,Pine Street 1,Building 5,Unit 1,PC-2-0005,FAM-X-000027,2025-09-16
ORD-0000090,ACC-000027,Central City,Pine Street 1,Building 5,Unit 1,PC-2-0005,FAM-X-000027,2025-01-21
ORD-0000091,ACC-000027,Central City,Pine Street 1,Building 5,Unit 1,PC-2-0005,FAM-X-000027,2025-03-13
ORD-0000092,ACC-000028,CENTRAL CITY,Pine St. 1,Bldg-5,Apt ۲,PC 2 0005,FAM-X-000028,2025-07-08
ORD-0000093,ACC-000028,CENTRAL CITY,Pine St. 1,Bldg-5,Apt ۲,PC 2 0005,FAM-X-000028,2025-09-06
ORD-0000094,ACC-000029,CENTRAL CITY,Pine St. 1,Bldg-5,Apt ۳,PC 2 0005,FAM-X-000029,2025-07-04
ORD-0000095,ACC-000029,CENTRAL CITY,Pine St. 1,Bldg-5,Apt ۳,PC 2 0005,FAM-X-000029,2025-09-26
ORD-0000096,ACC-000029,CENTRAL CITY,Pine St. 1,Bldg-5,Apt ۳,PC 2 0005,FAM-X-000029,2025-11-16
ORD-0000097,ACC-000029,CENTRAL CITY,Pine St. 1,Bldg-5,Apt ۳,PC 2 0005,FAM-X-000029,2025-10-17
ORD-0000098,ACC-000029,CENTRAL CITY,Pine St. 1,Bldg-5,Apt ۳,PC 2 0005,FAM-X-000029,2025-11-07
ORD-0000099,ACC-000030,Central City,Pine Street 1,Building 5,Unit 4,PC-2-0005,FAM-X-000030,2025-03-28
ORD-0000100,ACC-000030,Central City,Pine Street 1,Building 5,Unit 4,PC-2-0005,FAM-X-000030,2025-03-25
ORD-0000101,ACC-000030,Central City,Pine Street 1,Building 5,Unit 4,PC-2-0005,FAM-X-000030,2025-04-02
ORD-0000102,ACC-000030,Central City,Pine Street 1,Building 5,Unit 4,PC-2-0005,FAM-X-000030,2025-08-23
ORD-0000103,ACC-000030,Central City,Pine Street 1,Building 5,Unit 4,PC-2-0005,FAM-X-000030,2025-07-28
ORD-0000104,ACC-000031,South City,Elm Street 1,Building 6,Unit 1,PC-3-0006,FAM-X-000031,2025-05-17
ORD-0000105,ACC-000031,South City,Elm Street 1,Building 6,Unit 1,PC-3-0006,FAM-X-000031,2025-12-04
ORD-0000106,ACC-000032,South City,El St 1,B ۶,,PC30006,FAM-X-000032,2025-02-06
ORD-0000107,ACC-000032,South City,El St 1,B ۶,,PC30006,FAM-X-000032,2025-11-02
ORD-0000108,ACC-000032,South City,El St 1,B ۶,,PC30006,FAM-X-000032,2025-11-04
ORD-0000109,ACC-000032,South City,El St 1,B ۶,,PC30006,FAM-X-000032,2025-10-20
ORD-0000110,ACC-000033,South City,Elm S 1,B ۶,۳,,FAM-X-000033,2025-10-12
ORD-0000111,ACC-000033,South City,Elm S 1,B ۶,۳,,FAM-X-000033,2025-09-27
ORD-0000112,ACC-000033,South City,Elm S 1,B ۶,۳,,FAM-X-000033,2025-02-19
ORD-0000113,ACC-000033,South City,Elm S 1,B ۶,۳,,FAM-X-000033,2025-10-29
ORD-0000114,ACC-000034,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000034,2025-12-19
ORD-0000115,ACC-000034,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000034,2025-11-10
ORD-0000116,ACC-000034,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000034,2025-11-01
ORD-0000117,ACC-000034,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000034,2025-06-18
ORD-0000118,ACC-000035,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000035,2025-08-22
ORD-0000119,ACC-000035,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000035,2025-04-02
ORD-0000120,ACC-000035,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000035,2025-04-08
ORD-0000121,ACC-000035,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000035,2025-01-23
ORD-0000122,ACC-000036,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000036,2025-03-02
ORD-0000123,ACC-000036,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000036,2025-06-02
ORD-0000124,ACC-000037,South City,Elm Street 1,Building 6,Unit 3,PC-3-0006,FAM-X-000037,2025-05-15
ORD-0000125,ACC-000037,South City,Elm Street 1,Building 6,Unit 3,PC-3-0006,FAM-X-000037,2025-07-04
ORD-0000126,ACC-000037,South City,Elm Street 1,Building 6,Unit 3,PC-3-0006,FAM-X-000037,2025-05-14
ORD-0000127,ACC-000038,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000038,2025-05-19
ORD-0000128,ACC-000038,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000038,2025-03-08
ORD-0000129,ACC-000038,SOUTH CITY,Elm St. 1,Bldg-6,Apt ۳,PC 3 0006,FAM-X-000038,2025-09-08
ORD-0000130,ACC-000039,South City,Elm S 1,B ۶,۴,,FAM-X-000039,2025-06-18
ORD-0000131,ACC-000039,South City,Elm S 1,B ۶,۴,,FAM-X-000039,2025-07-15
ORD-0000132,ACC-000039,South City,Elm S 1,B ۶,۴,,FAM-X-000039,2025-12-17
ORD-0000133,ACC-000040,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۱,PC 1 0007,FAM-X-000040,2025-10-07
ORD-0000134,ACC-000040,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۱,PC 1 0007,FAM-X-000040,2025-08-20
ORD-0000135,ACC-000040,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۱,PC 1 0007,FAM-X-000040,2025-01-27
ORD-0000136,ACC-000040,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۱,PC 1 0007,FAM-X-000040,2025-04-16
ORD-0000137,ACC-000040,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۱,PC 1 0007,FAM-X-000040,2025-03-06
ORD-0000138,ACC-000041,North City,Cedar Street 2,Building 7,Unit 1,PC-1-0007,FAM-X-000041,2025-08-07
ORD-0000139,ACC-000041,North City,Cedar Street 2,Building 7,Unit 1,PC-1-0007,FAM-X-000041,2025-09-11
ORD-0000140,ACC-000041,North City,Cedar Street 2,Building 7,Unit 1,PC-1-0007,FAM-X-000041,2025-07-03
ORD-0000141,ACC-000041,North City,Cedar Street 2,Building 7,Unit 1,PC-1-0007,FAM-X-000041,2025-11-11
ORD-0000142,ACC-000042,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۲,PC 1 0007,FAM-X-000042,2025-02-04
ORD-0000143,ACC-000042,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۲,PC 1 0007,FAM-X-000042,2025-08-15
ORD-0000144,ACC-000042,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۲,PC 1 0007,FAM-X-000042,2025-09-22
ORD-0000145,ACC-000042,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۲,PC 1 0007,FAM-X-000042,2025-07-31
ORD-0000146,ACC-000043,North City,edar St 2,B ۷,۳,,FAM-00027,2025-10-18
ORD-0000147,ACC-000043,North City,edar St 2,B ۷,۳,,FAM-00027,2025-12-06
ORD-0000148,ACC-000043,North City,edar St 2,B ۷,۳,,FAM-00027,2025-12-12
ORD-0000149,ACC-000043,North City,edar St 2,B ۷,۳,,FAM-00027,2025-02-02
ORD-0000150,ACC-000043,North City,edar St 2,B ۷,۳,,FAM-00027,2025-04-03
ORD-0000151,ACC-000044,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-08-13
ORD-0000152,ACC-000044,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-03-03
ORD-0000153,ACC-000044,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-03-04
ORD-0000154,ACC-000044,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-02-17
ORD-0000155,ACC-000045,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-09-05
ORD-0000156,ACC-000045,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-07-10
ORD-0000157,ACC-000045,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-09-23
ORD-0000158,ACC-000045,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۳,PC 1 0007,FAM-00027,2025-10-06
ORD-0000159,ACC-000046,North City,Cdar St 2,B ۷,۳,PC10007,FAM-00027,2025-10-14
ORD-0000160,ACC-000046,North City,Cdar St 2,B ۷,۳,PC10007,FAM-00027,2025-02-12
ORD-0000161,ACC-000046,North City,Cdar St 2,B ۷,۳,PC10007,FAM-00027,2025-09-21
ORD-0000162,ACC-000046,North City,Cdar St 2,B ۷,۳,PC10007,FAM-00027,2025-02-02
ORD-0000163,ACC-000047,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۴,PC 1 0007,FAM-00028,2025-05-02
ORD-0000164,ACC-000047,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۴,PC 1 0007,FAM-00028,2025-09-27
ORD-0000165,ACC-000047,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۴,PC 1 0007,FAM-00028,2025-11-24
ORD-0000166,ACC-000047,NORTH CITY,Cedar St. 2,Bldg-7,Apt ۴,PC 1 0007,FAM-00028,2025-10-26
ORD-0000167,ACC-000048,North City,Cedar Street 2,Building 7,Unit 4,PC-1-0007,FAM-00028,2025-07-14
ORD-0000168,ACC-000048,North City,Cedar Street 2,Building 7,Unit 4,PC-1-0007,FAM-00028,2025-04-25
ORD-0000169,ACC-000048,North City,Cedar Street 2,Building 7,Unit 4,PC-1-0007,FAM-00028,2025-04-25
ORD-0000170,ACC-000048,North City,Cedar Street 2,Building 7,Unit 4,PC-1-0007,FAM-00028,2025-02-27
ORD-0000171,ACC-000048,North City,Cedar Street 2,Building 7,Unit 4,PC-1-0007,FAM-00028,2025-12-17
ORD-0000172,ACC-000049,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۱,PC 2 0008,FAM-00029,2025-03-06
ORD-0000173,ACC-000049,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۱,PC 2 0008,FAM-00029,2025-07-21
ORD-0000174,ACC-000050,Central City,Mapl St 2,B ۸,۱,,FAM-X-000050,2025-01-02
ORD-0000175,ACC-000050,Central City,Mapl St 2,B ۸,۱,,FAM-X-000050,2025-09-19
ORD-0000176,ACC-000050,Central City,Mapl St 2,B ۸,۱,,FAM-X-000050,2025-11-05
ORD-0000177,ACC-000051,Central City,Maple Street 2,Building 8,Unit 1,PC-2-0008,FAM-X-000051,2025-11-17
ORD-0000178,ACC-000051,Central City,Maple Street 2,Building 8,Unit 1,PC-2-0008,FAM-X-000051,2025-08-21
ORD-0000179,ACC-000051,Central City,Maple Street 2,Building 8,Unit 1,PC-2-0008,FAM-X-000051,2025-02-14
ORD-0000180,ACC-000051,Central City,Maple Street 2,Building 8,Unit 1,PC-2-0008,FAM-X-000051,2025-02-14
ORD-0000181,ACC-000051,Central City,Maple Street 2,Building 8,Unit 1,PC-2-0008,FAM-X-000051,2025-06-24
ORD-0000182,ACC-000052,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۱,PC 2 0008,FAM-00029,2025-02-04
ORD-0000183,ACC-000052,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۱,PC 2 0008,FAM-00029,2025-06-15
ORD-0000184,ACC-000052,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۱,PC 2 0008,FAM-00029,2025-09-21
ORD-0000185,ACC-000052,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۱,PC 2 0008,FAM-00029,2025-10-29
ORD-0000186,ACC-000053,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۲,PC 2 0008,FAM-X-000053,2025-06-11
ORD-0000187,ACC-000053,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۲,PC 2 0008,FAM-X-000053,2025-01-05
ORD-0000188,ACC-000053,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۲,PC 2 0008,FAM-X-000053,2025-04-21
ORD-0000189,ACC-000054,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000054,2025-12-30
ORD-0000190,ACC-000054,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000054,2025-01-17
ORD-0000191,ACC-000054,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000054,2025-11-17
ORD-0000192,ACC-000055,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000055,2025-11-02
ORD-0000193,ACC-000055,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000055,2025-01-16
ORD-0000194,ACC-000055,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000055,2025-02-08
ORD-0000195,ACC-000055,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000055,2025-08-31
ORD-0000196,ACC-000055,Central City,Maple Street 2,Building 8,Unit 3,PC-2-0008,FAM-X-000055,2025-12-31
ORD-0000197,ACC-000056,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۳,PC 2 0008,FAM-X-000056,2025-08-26
ORD-0000198,ACC-000056,CENTRAL CITY,Maple St. 2,Bldg-8,Apt ۳,PC 2 0008,FAM-X-000056,2025-08-16
ORD-0000199,ACC-000057,Central City,aple St 2,B ۸,,,FAM-X-000057,2025-02-22
ORD-0000200,ACC-000057,Central City,aple St 2,B ۸,,,FAM-X-000057,2025-11-08
ORD-0000201,ACC-000057,Central City,aple St 2,B ۸,,,FAM-X-000057,2025-10-11
ORD-0000202,ACC-000058,Central City,Maple S 2,B ۸,۴,,FAM-X-000058,2025-02-27
ORD-0000203,ACC-000058,Central City,Maple S 2,B ۸,۴,,FAM-X-000058,2025-01-19
ORD-0000204,ACC-000059,South City,Willow Street 2,Building 9,Unit 1,PC-3-0009,FAM-X-000059,2025-11-07
ORD-0000205,ACC-000059,South City,Willow Street 2,Building 9,Unit 1,PC-3-0009,FAM-X-000059,2025-03-31
ORD-0000206,ACC-000059,South City,Willow Street 2,Building 9,Unit 1,PC-3-0009,FAM-X-000059,2025-01-21
ORD-0000207,ACC-000060,South City,illow St 2,B ۹,۱,PC30009,FAM-X-000060,2025-10-27
ORD-0000208,ACC-000060,South City,illow St 2,B ۹,۱,PC30009,FAM-X-000060,2025-11-02
ORD-0000209,ACC-000060,South City,illow St 2,B ۹,۱,PC30009,FAM-X-000060,2025-06-12
ORD-0000210,ACC-000060,South City,illow St 2,B ۹,۱,PC30009,FAM-X-000060,2025-01-15
ORD-0000211,ACC-000060,South City,illow St 2,B ۹,۱,PC30009,FAM-X-000060,2025-06-16
ORD-0000212,ACC-000061,SOUTH CITY,Willow St. 2,Bldg-9,Apt ۲,PC 3 0009,FAM-X-000061,2025-07-17
ORD-0000213,ACC-000061,SOUTH CITY,Willow St. 2,Bldg-9,Apt ۲,PC 3 0009,FAM-X-000061,2025-09-29
ORD-0000214,ACC-000062,South City,Willow Street 2,Building 9,Unit 3,PC-3-0009,FAM-X-000062,2025-09-26
ORD-0000215,ACC-000062,South City,Willow Street 2,Building 9,Unit 3,PC-3-0009,FAM-X-000062,2025-01-20
ORD-0000216,ACC-000062,South City,Willow Street 2,Building 9,Unit 3,PC-3-0009,FAM-X-000062,2025-03-12
ORD-0000217,ACC-000062,South City,Willow Street 2,Building 9,Unit 3,PC-3-0009,FAM-X-000062,2025-01-06
ORD-0000218,ACC-000062,South City,Willow Street 2,Building 9,Unit 3,PC-3-0009,FAM-X-000062,2025-04-09
ORD-0000219,ACC-000063,SOUTH CITY,Willow St. 2,Bldg-9,Apt ۳,PC 3 0009,FAM-X-000063,2025-12-24
ORD-0000220,ACC-000063,SOUTH CITY,Willow St. 2,Bldg-9,Apt ۳,PC 3 0009,FAM-X-000063,2025-10-01
ORD-0000221,ACC-000063,SOUTH CITY,Willow St. 2,Bldg-9,Apt ۳,PC 3 0009,FAM-X-000063,2025-08-12
ORD-0000222,ACC-000063,SOUTH CITY,Willow St. 2,Bldg-9,Apt ۳,PC 3 0009,FAM-X-000063,2025-07-05
ORD-0000223,ACC-000064,South City,illow St 2,B ۹,۴,,FAM-00036,2025-03-08
ORD-0000224,ACC-000064,South City,illow St 2,B ۹,۴,,FAM-00036,2025-05-18
ORD-0000225,ACC-000064,South City,illow St 2,B ۹,۴,,FAM-00036,2025-12-24
ORD-0000226,ACC-000064,South City,illow St 2,B ۹,۴,,FAM-00036,2025-08-05
