account_id,city_norm,street_norm,building_norm,unit_norm,postcode_norm,family_token_norm,observed_orders,exact_address_key
ACC-000038,south city,elm street 1,6,3,pc30006,fam x 000038,3,south city|elm street 1|6|3|pc30006
ACC-000039,south city,elm s 1,6,4,,fam x 000039,3,south city|elm s 1|6|4|
ACC-000040,north city,cedar street 2,7,1,pc10007,fam x 000040,5,north city|cedar street 2|7|1|pc10007
ACC-000041,north city,cedar street 2,7,1,pc10007,fam x 000041,4,north city|cedar street 2|7|1|pc10007
ACC-000042,north city,cedar street 2,7,2,pc10007,fam x 000042,4,north city|cedar street 2|7|2|pc10007
ACC-000043,north city,edar street 2,7,3,,fam 00027,5,north city|edar street 2|7|3|
ACC-000044,north city,cedar street 2,7,3,pc10007,fam 00027,4,north city|cedar street 2|7|3|pc10007
ACC-000045,north city,cedar street 2,7,3,pc10007,fam 00027,4,north city|cedar street 2|7|3|pc10007
ACC-000046,north city,cdar street 2,7,3,pc10007,fam 00027,4,north city|cdar street 2|7|3|pc10007
ACC-000047,north city,cedar street 2,7,4,pc10007,fam 00028,4,north city|cedar street 2|7|4|pc10007
ACC-000048,north city,cedar street 2,7,4,pc10007,fam 00028,5,north city|cedar street 2|7|4|pc10007
ACC-000049,central city,maple street 2,8,1,pc20008,fam 00029,2,central city|maple street 2|8|1|pc20008
ACC-000050,central city,mapl street 2,8,1,,fam x 000050,3,central city|mapl street 2|8|1|
ACC-000051,central city,maple street 2,8,1,pc20008,fam x 000051,5,central city|maple street 2|8|1|pc20008
ACC-000052,central city,maple street 2,8,1,pc20008,fam 00029,4,central city|maple street 2|8|1|pc20008
ACC-000053,central city,maple street 2,8,2,pc20008,fam x 000053,3,central city|maple street 2|8|2|pc20008
ACC-000054,central city,maple street 2,8,3,pc20008,fam x 000054,3,central city|maple street 2|8|3|pc20008
ACC-000055,central city,maple street 2,8,3,pc20008,fam x 000055,5,central city|maple street 2|8|3|pc20008
ACC-000056,central city,maple street 2,8,3,pc20008,fam x 000056,2,central city|maple street 2|8|3|pc20008
ACC-000057,central city,aple street 2,8,,,fam x 000057,3,central city|aple street 2|8||
ACC-000058,central city,maple s 2,8,4,,fam x 000058,2,central city|maple s 2|8|4|
ACC-000059,south city,willow street 2,9,1,pc30009,fam x 000059,3,south city|willow street 2|9|1|pc30009
ACC-000060,south city,illow street 2,9,1,pc30009,fam x 000060,5,south city|illow street 2|9|1|pc30009
ACC-000061,south city,willow street 2,9,2,pc30009,fam x 000061,2,south city|willow street 2|9|2|pc30009
ACC-000062,south city,willow street 2,9,3,pc30009,fam x 000062,5,south city|willow street 2|9|3|pc30009
ACC-000063,south city,willow street 2,9,3,pc30009,fam x 000063,4,south city|willow street 2|9|3|pc30009
ACC-000064,south city,illow street 2,9,4,,fam 00036,5,south city|illow street 2|9|4|
ACC-000065,south city,willow t 2,9,4,,fam x 000065,4,south city|willow t 2|9|4|
ACC-000066,north city,oa street 2,10,,,fam 00037,4,north city|oa street 2|10||
ACC-000067,north city,oak street 2,10,1,pc10010,fam 00037,4,north city|oak street 2|10|1|pc10010
ACC-000068,north city,oak street 2,10,2,pc10010,fam x 000068,4,north city|oak street 2|10|2|pc10010
ACC-000069,north city,oak street 2,10,3,pc10010,fam x 000069,3,north city|oak street 2|10|3|pc10010
ACC-000070,north city,oak street 2,10,4,pc10010,fam x 000070,3,north city|oak street 2|10|4|pc10010
ACC-000071,central city,pine street 2,11,1,pc20011,fam x 000071,2,central city|pine street 2|11|1|pc20011
ACC-000072,central city,pine street 2,11,1,pc20011,fam x 000072,4,central city|pine street 2|11|1|pc20011
ACC-000073,central city,pine s 2,11,2,,fam x 000073,4,central city|pine s 2|11|2|
ACC-000074,central city,ine street 2,11,2,,fam x 000074,2,central city|ine street 2|11|2|
ACC-000075,central city,pine street 2,11,3,pc20011,fam x 000075,4,central city|pine street 2|11|3|pc20011
ACC-000076,central city,pne street 2,11,4,,fam 00044,2,central city|pne street 2|11|4|
ACC-000077,central city,pine street 2,11,4,pc20011,fam x 000077,2,central city|pine street 2|11|4|pc20011
ACC-000078,central city,pine street 2,11,4,pc20011,fam 00044,5,central city|pine street 2|11|4|pc20011
ACC-000079,south city,elm street 2,12,1,pc30012,fam 00045,3,south city|elm street 2|12|1|pc30012
ACC-000080,south city,elm s 2,12,1,pc30012,fam x 000080,4,south city|elm s 2|12|1|pc30012
ACC-000081,south city,elm street 2,12,2,pc30012,fam x 000081,5,south city|elm street 2|12|2|pc30012
ACC-000082,south city,elm street 2,12,3,pc30012,fam x 000082,2,south city|elm street 2|12|3|pc30012
ACC-000083,south city,elm street 2,12,4,pc30012,fam x 000083,2,south city|elm street 2|12|4|pc30012
ACC-000084,north city,cedar street 3,13,1,pc10013,fam 00049,5,north city|cedar street 3|13|1|pc10013
ACC-000085,north city,cedar street 3,13,1,pc10013,fam 00049,4,north city|cedar street 3|13|1|pc10013
ACC-000086,north city,cedr street 3,13,2,pc10013,fam x 000086,4,north city|cedr street 3|13|2|pc10013
ACC-000087,north city,cedar street 3,13,3,pc10013,fam x 000087,5,north city|cedar street 3|13|3|pc10013
ACC-000088,north city,cedar street 3,13,3,pc10013,fam x 000088,2,north city|cedar street 3|13|3|pc10013
ACC-000089,north city,cedar street 3,13,4,pc10013,fam 00052,3,north city|cedar street 3|13|4|pc10013
ACC-000090,north city,cedar street 3,13,4,pc10013,fam 00052,2,north city|cedar street 3|13|4|pc10013
ACC-000091,central city,maple street 3,14,1,pc20014,fam x 000091,2,central city|maple street 3|14|1|pc20014
ACC-000092,central city,maple street 3,14,2,pc20014,fam x 000092,5,central city|maple street 3|14|2|pc20014
ACC-000093,central city,maple street 3,14,2,pc20014,fam x 000093,3,central city|maple street 3|14|2|pc20014
ACC-000094,central city,mape street 3,14,,,fam x 000094,4,central city|mape street 3|14||
ACC-000095,central city,mple street 3,14,2,pc20014,fam x 000095,3,central city|mple street 3|14|2|pc20014
ACC-000096,central city,maple street 3,14,2,pc20014,fam x 000096,3,central city|maple street 3|14|2|pc20014
ACC-000097,central city,maple street 3,14,2,pc20014,fam x 000097,5,central city|maple street 3|14|2|pc20014
ACC-000098,central city,maple s 3,14,,,fam x 000098,4,central city|maple s 3|14||
ACC-000099,central city,maple street 3,14,4,pc20014,fam x 000099,5,central city|maple street 3|14|4|pc20014
ACC-000100,south city,willo street 3,15,1,pc30015,fam x 000100,3,south city|willo street 3|15|1|pc30015
ACC-000101,south city,willow street 3,15,1,pc30015,fam x 000101,2,south city|willow street 3|15|1|pc30015
ACC-000102,south city,willow street 3,15,1,pc30015,fam x 000102,2,south city|willow street 3|15|1|pc30015
ACC-000103,south city,willow street 3,15,2,pc30015,fam x 000103,4,south city|willow street 3|15|2|pc30015
ACC-000104,south city,wllow street 3,15,4,,fam 00059,2,south city|wllow street 3|15|4|
ACC-000105,south city,willow street 3,15,3,pc30015,fam 00059,5,south city|willow street 3|15|3|pc30015
ACC-000106,south city,willow t 3,15,4,,fam 00059,2,south city|willow t 3|15|4|
ACC-000107,south city,willow street 3,15,4,pc30015,fam x 000107,5,south city|willow street 3|15|4|pc30015
ACC-000108,south city,willow street 3,15,4,pc30015,fam 00060,3,south city|willow street 3|15|4|pc30015
ACC-000109,south city,willow street 3,15,4,pc30015,fam 00060,3,south city|willow street 3|15|4|pc30015
ACC-000110,north city,oak street 3,16,1,pc10016,fam x 000110,5,north city|oak street 3|16|1|pc10016
ACC-000111,north city,oak street 3,16,1,pc10016,fam 00061,5,north city|oak street 3|16|1|pc10016
ACC-000112,north city,oak street 3,16,1,pc10016,fam 00061,3,north city|oak street 3|16|1|pc10016
ACC-000113,north city,oak street 3,16,2,pc10016,fam x 000113,5,north city|oak street 3|16|2|pc10016
ACC-000114,north city,oak street 3,16,3,pc10016,fam x 000114,3,north city|oak street 3|16|3|pc10016
ACC-000115,north city,oak s 3,16,4,,fam x 000115,3,north city|oak s 3|16|4|
ACC-000116,north city,oak street 3,16,4,pc10016,fam 00064,5,north city|oak street 3|16|4|pc10016
ACC-000117,north city,oak street 3,16,4,pc10016,fam 00064,5,north city|oak street 3|16|4|pc10016
ACC-000118,north city,oak street 3,16,4,pc10016,fam 00064,4,north city|oak street 3|16|4|pc10016
ACC-000119,north city,oak street 3,16,4,pc10016,fam 00064,4,north city|oak street 3|16|4|pc10016
ACC-000120,central city,pine street 3,17,1,pc20017,fam x 000120,3,central city|pine street 3|17|1|pc20017
ACC-000121,central city,pine street 3,17,2,pc20017,fam 00066,4,central city|pine street 3|17|2|pc20017
ACC-000122,central city,pine street 3,17,2,pc20017,fam 00066,3,central city|pine street 3|17|2|pc20017
ACC-000123,central city,pine street 3,17,3,pc20017,fam x 000123,4,central city|pine street 3|17|3|pc20017
ACC-000124,central city,pine street 3,17,4,pc20017,fam x 000124,4,central city|pine street 3|17|4|pc20017
ACC-000125,central city,pine street 3,17,4,pc20017,fam x 000125,5,central city|pine street 3|17|4|pc20017
ACC-000126,south city,elm street 3,18,1,pc30018,fam 00069,2,south city|elm street 3|18|1|pc30018
ACC-000127,south city,elm street 3,18,1,pc30018,fam x 000127,4,south city|elm street 3|18|1|pc30018
ACC-000128,south city,elm t 3,18,2,,fam x 000128,2,south city|elm t 3|18|2|
ACC-000129,south city,elm street 3,18,2,pc30018,fam 00070,5,south city|elm street 3|18|2|pc30018
ACC-000130,south city,elm street 3,18,2,pc30018,fam 00070,3,south city|elm street 3|18|2|pc30018
ACC-000131,south city,elm street 3,18,3,pc30018,fam x 000131,3,south city|elm street 3|18|3|pc30018
ACC-000132,south city,elm t 3,18,4,,fam 00072,4,south city|elm t 3|18|4|
ACC-000133,south city,el street 3,18,,,fam x 000133,4,south city|el street 3|18||
ACC-000134,south city,elm s 3,18,4,,fam 00072,4,south city|elm s 3|18|4|
ACC-000135,north city,cedar street 4,19,1,pc10019,fam x 000135,3,north city|cedar street 4|19|1|pc10019
ACC-000136,north city,cdar street 4,19,2,,fam x 000136,2,north city|cdar street 4|19|2|
ACC-000137,north city,cedar street 4,19,2,pc10019,fam x 000137,3,north city|cedar street 4|19|2|pc10019
ACC-000138,north city,cedar street 4,19,2,pc10019,fam x 000138,5,north city|cedar street 4|19|2|pc10019
ACC-000139,north city,cedar street 4,19,3,pc10019,fam x 000139,5,north city|cedar street 4|19|3|pc10019
ACC-000140,north city,cdar street 4,19,,,fam x 000140,5,north city|cdar street 4|19||
ACC-000141,north city,cedar street 4,19,4,pc10019,fam x 000141,3,north city|cedar street 4|19|4|pc10019
ACC-000142,north city,cedar street 4,19,4,pc10019,fam x 000142,4,north city|cedar street 4|19|4|pc10019
ACC-000143,north city,edar street 4,19,4,pc10019,fam x 000143,4,north city|edar street 4|19|4|pc10019
ACC-000144,central city,maple t 4,20,1,pc20020,fam x 000144,5,central city|maple t 4|20|1|pc20020
ACC-000145,central city,maple street 4,20,2,pc20020,fam 00078,4,central city|maple street 4|20|2|pc20020
ACC-000146,central city,maple street 4,20,2,pc20020,fam 00078,2,central city|maple street 4|20|2|pc20020
ACC-000147,central city,maple street 4,20,3,pc20020,fam x 000147,2,central city|maple street 4|20|3|pc20020
ACC-000148,central city,maple street 4,20,4,pc20020,fam x 000148,5,central city|maple street 4|20|4|pc20020
ACC-000149,south city,willow street 4,21,1,pc30021,fam x 000149,3,south city|willow street 4|21|1|pc30021
ACC-000150,south city,willow street 4,21,2,pc30021,fam x 000150,3,south city|willow street 4|21|2|pc30021
ACC-000151,south city,willow street 4,21,3,pc30021,fam 00083,5,south city|willow street 4|21|3|pc30021
ACC-000152,south city,willow s 4,21,3,pc30021,fam x 000152,4,south city|willow s 4|21|3|pc30021
ACC-000153,south city,wilow street 4,21,4,,fam 00084,2,south city|wilow street 4|21|4|
ACC-000154,south city,wllow street 4,21,4,pc30021,fam 00084,5,south city|wllow street 4|21|4|pc30021
ACC-000155,north city,ok street 4,22,,,fam 00085,5,north city|ok street 4|22||
ACC-000156,north city,oak street 4,22,1,pc10022,fam 00085,3,north city|oak street 4|22|1|pc10022
ACC-000157,north city,oak s 4,22,2,,fam 00085,3,north city|oak s 4|22|2|
ACC-000158,north city,oak street 4,22,2,pc10022,fam x 000158,3,north city|oak street 4|22|2|pc10022
ACC-000159,north city,oak street 4,22,2,pc10022,fam x 000159,3,north city|oak street 4|22|2|pc10022
ACC-000160,north city,oak street 4,22,2,pc10022,fam x 000160,3,north city|oak street 4|22|2|pc10022
ACC-000161,north city,oak street 4,22,2,pc10022,fam x 000161,5,north city|oak street 4|22|2|pc10022
ACC-000162,north city,oak street 4,22,3,pc10022,fam x 000162,5,north city|oak street 4|22|3|pc10022
ACC-000163,north city,oak street 4,22,4,pc10022,fam x 000163,2,north city|oak street 4|22|4|pc10022
ACC-000164,central city,pie street 4,23,1,pc20023,fam 00089,5,central city|pie street 4|23|1|pc20023
ACC-000165,central city,pine street 4,23,1,pc20023,fam 00089,2,central city|pine street 4|23|1|pc20023
ACC-000166,central city,pine street 4,23,2,pc20023,fam x 000166,4,central city|pine street 4|23|2|pc20023
ACC-000167,central city,pine street 4,23,2,pc20023,fam x 000167,5,central city|pine street 4|23|2|pc20023
ACC-000168,central city,pine street 4,23,2,pc20023,fam x 000168,3,central city|pine street 4|23|2|pc20023
ACC-000169,central city,pine street 4,23,3,pc20023,fam x 000169,3,central city|pine street 4|23|3|pc20023
ACC-000170,central city,pine street 4,23,4,pc20023,fam x 000170,4,central city|pine street 4|23|4|pc20023
ACC-000171,south city,elm street 4,24,1,pc30024,fam x 000171,4,south city|elm street 4|24|1|pc30024
ACC-000172,south city,elm s 4,24,,pc30024,fam x 000172,3,south city|elm s 4|24||pc30024
ACC-000173,south city,elm street 4,24,2,pc30024,fam x 000173,5,south city|elm street 4|24|2|pc30024
ACC-000174,south city,elm street 4,24,2,pc30024,fam x 000174,4,south city|elm street 4|24|2|pc30024
ACC-000175,south city,elm street 4,24,3,pc30024,fam x 000175,2,south city|elm street 4|24|3|pc30024
ACC-000176,south city,elm street 4,24,3,pc30024,fam x 000176,3,south city|elm street 4|24|3|pc30024
ACC-000177,south city,elm street 4,24,4,pc30024,fam x 000177,2,south city|elm street 4|24|4|pc30024
ACC-000178,north city,cedar street 5,25,1,pc10025,fam 00097,2,north city|cedar street 5|25|1|pc10025
ACC-000179,north city,cedar street 5,25,1,pc10025,fam 00097,5,north city|cedar street 5|25|1|pc10025
ACC-000180,north city,cedar street 5,25,2,pc10025,fam x 000180,2,north city|cedar street 5|25|2|pc10025
ACC-000181,north city,cedar street 5,25,3,pc10025,fam x 000181,4,north city|cedar street 5|25|3|pc10025
ACC-000182,north city,cedar street 5,25,4,pc10025,fam x 000182,4,north city|cedar street 5|25|4|pc10025
ACC-000183,central city,maple street 5,26,1,pc20026,fam x 000183,4,central city|maple street 5|26|1|pc20026
ACC-000184,central city,maple s 5,26,2,,fam 00102,4,central city|maple s 5|26|2|
ACC-000185,central city,maple street 5,26,2,pc20026,fam x 000185,3,central city|maple street 5|26|2|pc20026
ACC-000186,central city,maple street 5,26,3,pc20026,fam x 000186,5,central city|maple street 5|26|3|pc20026
ACC-000187,central city,maple street 5,26,3,pc20026,fam x 000187,3,central city|maple street 5|26|3|pc20026
ACC-000188,central city,maple street 5,26,3,pc20026,fam x 000188,4,central city|maple street 5|26|3|pc20026
ACC-000189,central city,maple street 5,26,3,pc20026,fam x 000189,3,central city|maple street 5|26|3|pc20026
ACC-000190,central city,male street 5,26,,,fam x 000190,2,central city|male street 5|26||
ACC-000191,central city,mapl street 5,26,,,fam x 000191,5,central city|mapl street 5|26||
ACC-000192,central city,maple street 5,26,4,pc20026,fam x 000192,2,central city|maple street 5|26|4|pc20026
ACC-000193,south city,willow street 5,27,1,pc30027,fam x 000193,5,south city|willow street 5|27|1|pc30027
ACC-000194,south city,wilow street 5,27,1,pc30027,fam x 000194,2,south city|wilow street 5|27|1|pc30027
ACC-000195,south city,willow street 5,27,1,pc30027,fam x 000195,4,south city|willow street 5|27|1|pc30027
ACC-000196,south city,willow street 5,27,1,pc30027,fam x 000196,4,south city|willow street 5|27|1|pc30027
ACC-000197,south city,willow street 5,27,2,pc30027,fam x 000197,3,south city|willow street 5|27|2|pc30027
ACC-000198,south city,willow street 5,27,2,pc30027,fam 00106,3,south city|willow street 5|27|2|pc30027
ACC-000199,south city,wilow street 5,27,3,pc30027,fam x 000199,3,south city|wilow street 5|27|3|pc30027
ACC-000200,south city,wilow street 5,27,,pc30027,fam x 000200,5,south city|wilow street 5|27||pc30027
ACC-000201,south city,willow street 5,27,3,pc30027,fam x 000201,4,south city|willow street 5|27|3|pc30027
ACC-000202,south city,willow street 5,27,4,pc30027,fam x 000202,3,south city|willow street 5|27|4|pc30027
ACC-000203,south city,wllow street 5,27,4,,fam 00108,2,south city|wllow street 5|27|4|
ACC-000204,south city,willow street 5,27,4,pc30027,fam 00108,3,south city|willow street 5|27|4|pc30027
ACC-000205,north city,oak street 5,28,1,pc10028,fam 00109,4,north city|oak street 5|28|1|pc10028
ACC-000206,north city,oak street 5,28,1,pc10028,fam 00109,3,north city|oak street 5|28|1|pc10028
ACC-000207,north city,oak t 5,28,1,,fam 00109,5,north city|oak t 5|28|1|
ACC-000208,north city,oak s 5,28,3,,fam x 000208,3,north city|oak s 5|28|3|
ACC-000209,north city,oak street 5,28,2,pc10028,fam x 000209,2,north city|oak street 5|28|2|pc10028
ACC-000210,north city,oa street 5,28,2,,fam x 000210,4,north city|oa street 5|28|2|
ACC-000211,north city,oak street 5,28,2,pc10028,fam x 000211,3,north city|oak street 5|28|2|pc10028
ACC-000212,north city,oak t 5,28,2,,fam x 000212,5,north city|oak t 5|28|2|
ACC-000213,north city,oak street 5,28,2,pc10028,fam x 000213,4,north city|oak street 5|28|2|pc10028
ACC-000214,north city,ak street 5,28,3,,fam x 000214,5,north city|ak street 5|28|3|
ACC-000215,north city,oak street 5,28,4,pc10028,fam 00112,3,north city|oak street 5|28|4|pc10028
ACC-000216,north city,oak street 5,28,4,pc10028,fam 00112,3,north city|oak street 5|28|4|pc10028
ACC-000217,north city,oak street 5,28,4,pc10028,fam 00112,4,north city|oak street 5|28|4|pc10028
ACC-000218,north city,oak street 5,28,4,pc10028,fam 00112,3,north city|oak street 5|28|4|pc10028
ACC-000219,central city,pin street 5,29,1,,fam x 000219,5,central city|pin street 5|29|1|
ACC-000220,central city,ine street 5,29,2,,fam x 000220,5,central city|ine street 5|29|2|
ACC-000221,central city,pie street 5,29,3,pc20029,fam x 000221,5,central city|pie street 5|29|3|pc20029
ACC-000222,central city,pine street 5,29,4,pc20029,fam x 000222,5,central city|pine street 5|29|4|pc20029
ACC-000223,central city,pine street 5,29,4,pc20029,fam x 000223,2,central city|pine street 5|29|4|pc20029
ACC-000224,south city,elm street 5,30,1,pc30030,fam 00117,2,south city|elm street 5|30|1|pc30030
ACC-000225,south city,elm street 5,30,1,pc30030,fam x 000225,5,south city|elm street 5|30|1|pc30030
ACC-000226,south city,elm street 5,30,1,pc30030,fam 00117,3,south city|elm street 5|30|1|pc30030
ACC-000227,south city,elm street 5,30,1,pc30030,fam 00117,5,south city|elm street 5|30|1|pc30030
ACC-000228,south city,elm street 5,30,2,pc30030,fam x 000228,5,south city|elm street 5|30|2|pc30030
ACC-000229,south city,lm street 5,30,3,pc30030,fam 00119,4,south city|lm street 5|30|3|pc30030
ACC-000230,south city,elm s 5,30,3,,fam 00119,2,south city|elm s 5|30|3|
ACC-000231,south city,elm street 5,30,3,pc30030,fam 00119,2,south city|elm street 5|30|3|pc30030
ACC-000232,south city,el street 5,30,5,pc30030,fam 00120,5,south city|el street 5|30|5|pc30030
ACC-000233,south city,elm street 5,30,4,pc30030,fam 00120,2,south city|elm street 5|30|4|pc30030
ACC-000234,north city,cedar s 6,31,2,,fam x 000234,5,north city|cedar s 6|31|2|
ACC-000235,north city,cdar street 6,31,1,pc10031,fam x 000235,4,north city|cdar street 6|31|1|pc10031
ACC-000236,north city,cedar street 6,31,1,pc10031,fam x 000236,2,north city|cedar street 6|31|1|pc10031
ACC-000237,north city,edar street 6,31,1,,fam x 000237,4,north city|edar street 6|31|1|
ACC-000238,north city,cedar street 6,31,1,pc10031,fam x 000238,2,north city|cedar street 6|31|1|pc10031
ACC-000239,north city,cedar street 6,31,1,pc10031,fam x 000239,4,north city|cedar street 6|31|1|pc10031
ACC-000240,north city,cedar street 6,31,2,pc10031,fam 00122,3,north city|cedar street 6|31|2|pc10031
ACC-000241,north city,cedar street 6,31,2,pc10031,fam 00122,2,north city|cedar street 6|31|2|pc10031
ACC-000242,north city,cdar street 6,31,3,pc10031,fam x 000242,2,north city|cdar street 6|31|3|pc10031
ACC-000243,north city,cedar street 6,31,3,pc10031,fam 00123,3,north city|cedar street 6|31|3|pc10031
ACC-000244,north city,ceda street 6,31,3,pc10031,fam 00123,2,north city|ceda street 6|31|3|pc10031
ACC-000245,north city,cedar street 6,31,3,pc10031,fam x 000245,5,north city|cedar street 6|31|3|pc10031
ACC-000246,north city,cedar street 6,31,4,pc10031,fam x 000246,5,north city|cedar street 6|31|4|pc10031
ACC-000247,north city,cedar street 6,31,4,pc10031,fam x 000247,3,north city|cedar street 6|31|4|pc10031
ACC-000248,north city,cedar street 6,31,4,pc10031,fam x 000248,2,north city|cedar street 6|31|4|pc10031
ACC-000249,central city,maple s 6,32,1,pc20032,fam x 000249,4,central city|maple s 6|32|1|pc20032
ACC-000250,central city,maple street 6,32,1,pc20032,fam x 000250,4,central city|maple street 6|32|1|pc20032
ACC-000251,central city,maple street 6,32,1,pc20032,fam x 000251,5,central city|maple street 6|32|1|pc20032
ACC-000252,central city,maple street 6,32,2,pc20032,fam x 000252,2,central city|maple street 6|32|2|pc20032
ACC-000253,central city,aple street 6,32,3,,fam 00127,5,central city|aple street 6|32|3|
ACC-000254,central city,maple street 6,32,3,pc20032,fam x 000254,5,central city|maple street 6|32|3|pc20032
ACC-000255,central city,maple street 6,32,3,pc20032,fam 00127,2,central city|maple street 6|32|3|pc20032
ACC-000256,central city,maple street 6,32,4,pc20032,fam 00128,4,central city|maple street 6|32|4|pc20032
ACC-000257,central city,aple street 6,32,4,,fam 00128,3,central city|aple street 6|32|4|
ACC-000258,central city,maple street 6,32,4,pc20032,fam 00128,5,central city|maple street 6|32|4|pc20032
ACC-000259,central city,maple street 6,32,4,pc20032,fam 00128,3,central city|maple street 6|32|4|pc20032
ACC-000260,south city,wllow street 6,33,2,,fam 00129,4,south city|wllow street 6|33|2|
ACC-000261,south city,wilow street 6,33,1,,fam 00129,5,south city|wilow street 6|33|1|
ACC-000262,south city,willow street 6,33,1,pc30033,fam 00129,4,south city|willow street 6|33|1|pc30033
ACC-000263,south city,willow s 6,33,2,pc30033,fam 00130,3,south city|willow s 6|33|2|pc30033
ACC-000264,south city,willow street 6,33,2,pc30033,fam 00130,3,south city|willow street 6|33|2|pc30033
ACC-000265,south city,willow street 6,33,3,pc30033,fam x 000265,4,south city|willow street 6|33|3|pc30033
ACC-000266,south city,willow street 6,33,3,pc30033,fam x 000266,4,south city|willow street 6|33|3|pc30033
ACC-000267,south city,willow street 6,33,3,pc30033,fam x 000267,3,south city|willow street 6|33|3|pc30033
ACC-000268,south city,willow street 6,33,3,pc30033,fam x 000268,2,south city|willow street 6|33|3|pc30033
ACC-000269,south city,willow street 6,33,3,pc30033,fam x 000269,5,south city|willow street 6|33|3|pc30033
ACC-000270,south city,willow street 6,33,3,pc30033,fam x 000270,2,south city|willow street 6|33|3|pc30033
ACC-000271,south city,willow street 6,33,4,pc30033,fam x 000271,2,south city|willow street 6|33|4|pc30033
ACC-000272,south city,willow street 6,33,4,pc30033,fam x 000272,2,south city|willow street 6|33|4|pc30033
ACC-000273,north city,oak street 6,34,1,pc10034,fam x 000273,2,north city|oak street 6|34|1|pc10034
ACC-000274,north city,oak street 6,34,2,pc10034,fam x 000274,2,north city|oak street 6|34|2|pc10034
ACC-000275,north city,ak street 6,34,2,,fam x 000275,5,north city|ak street 6|34|2|
